Year,Age 45,Age 30
1965,85.6,89.5
1966,86.5,88.9
1967,86.7,88.9
1968,87.7,88.9
1969,89,88.4
1970,89,87.9
1971,89.9,87.3
1972,91.2,86.4
1973,90.4,85.3
1974,90.4,83.5
1975,91.2,82.2
1976,91.5,81.3
1977,92.1,80
1978,92.8,78.3
1979,93.7,76.1
1980,93.9,74.4
1981,93.3,73.1
1982,93.4,72
1983,93.4,70.9
1984,93,70.4
1985,92.5,70.2
1986,92.1,69.9
1987,91.5,69.3
1988,90.7,68.9
1989,89.4,69.2
1990,88.8,69.2
1991,88.7,68.8
1992,88.2,68.6
1993,87.2,68.6
1994,85.8,68.5
1995,84.9,68.1
1996,84.4,67.7
1997,83.9,67.6
1998,83.5,67.1
1999,83.5,66.9
2000,83.7,67.6
2001,83.8,68.2
2002,83.7,68.6
2003,83.7,69
2004,84.4,69.2
2005,84.7,69
2006,84.7,68.8
2007,85,68.5
2008,85.6,67.4
2009,86,66.4
2010,85.9,65.6
2011,86.1,64.9
2012,86.7,64.6
2013,86.7,64
2014,87,63.1
2015,88,62.3
2016,88.7,61.5
2017,89.1,60.5
2018,89.6,59
2019,89.9,57
2020,89.6,55.1
2021,89.6,53.3
2022,89.5,51.7
2023,88.5,50.2
2024,87.5,48.8