Year,CCF45 (b)
1976,3.24
1977,3.252
1978,3.255
1979,3.253
1980,3.213
1981,3.13
1982,3.058
1983,2.983
1984,2.891
1985,2.794
1986,2.679
1987,2.56
1988,2.463
1989,2.364
1990,2.291
1991,2.214
1992,2.149
1993,2.103
1994,2.056
1995,2.021
1996,1.996
1997,1.979
1998,1.969
1999,1.972
2000,1.978
2001,1.983
2002,1.984
2003,1.988
2004,2.009
2005,2.021
2006,2.02
2007,2.03
2008,2.048
2009,2.063
2010,2.071
2011,2.085
2012,2.105
2013,2.107
2014,2.11
2015,2.132
2016,2.156
2017,2.178
2018,2.199
2019,2.211
2020,2.217
2021,2.224
2022,2.228
2023,2.204
2024,2.176